config_id,question_id,public_passed,initial_sas,final_sas,sal_activated,accepted_refines,llm_calls
threshold_r80_paper,2811,False,81,81,True,0,5
threshold_r80_paper,3188,False,81,81,True,0,5
threshold_r80_paper,3206,True,85,85,True,0,5
threshold_r80_paper,3225,True,81,81,True,0,5
threshold_r80_paper,3234,True,81,81,True,0,5
threshold_r80_paper,3240,False,81,81,True,0,5
threshold_r80_paper,3243,False,81,81,True,0,5
threshold_r80_paper,3308,False,81,81,True,0,5
threshold_r80_paper,3347,True,81,81,True,0,5
threshold_r80_paper,3381,True,81,81,True,0,5
threshold_r80_paper,3446,True,85,85,True,0,5
threshold_r80_paper,3567,True,86,86,True,0,5
threshold_r80_paper,3600,False,86,86,True,0,5
threshold_r80_paper,3647,False,81,81,True,0,5
threshold_r80_paper,3651,False,81,81,True,0,5
threshold_r80_paper,3654,False,81,81,True,0,5
threshold_r80_paper,3675,False,80,80,True,0,5
threshold_r80_paper,3700,False,81,81,True,0,5
threshold_r80_paper,3809,True,85,85,True,0,5
threshold_r80_paper,abc303_c,True,81,81,True,0,5
threshold_r80_paper,abc314_a,True,85,85,True,0,5
threshold_r80_paper,abc314_b,False,85,85,True,0,5
threshold_r80_paper,abc315_b,True,100,100,True,0,5
threshold_r80_paper,abc323_b,True,81,81,True,0,5
threshold_r80_paper,abc323_d,False,85,85,True,0,5
threshold_r80_paper,abc324_e,False,80,80,True,0,5
threshold_r80_paper,abc329_c,False,85,85,True,0,5
threshold_r80_paper,abc334_e,False,0,78,True,1,11
threshold_r80_paper,abc340_d,False,81,81,True,0,5
threshold_r80_paper,abc343_c,True,81,81,True,0,5
threshold_r80_paper,abc344_d,True,81,81,True,0,5
threshold_r80_paper,abc350_c,False,81,81,True,0,5
threshold_r80_paper,abc351_f,False,86,86,True,0,5
threshold_r80_paper,abc353_d,True,80,80,True,0,5
threshold_r80_paper,abc354_c,False,81,81,True,0,5
threshold_r80_paper,abc364_d,True,100,100,True,0,5
threshold_r80_paper,abc367_b,True,86,86,True,0,5
threshold_r80_paper,abc368_d,False,85,85,True,0,5
threshold_r80_paper,abc372_c,False,80,80,True,0,5
threshold_r80_paper,abc372_d,False,85,85,True,0,5
threshold_r80_paper,abc374_f,False,81,81,True,0,5
threshold_r80_paper,abc377_b,True,85,85,True,0,5
threshold_r80_paper,abc378_d,True,85,85,True,0,5
threshold_r80_paper,abc380_c,False,81,81,True,0,5
threshold_r80_paper,abc390_c,False,0,0,True,0,8
threshold_r80_paper,abc393_f,False,81,81,True,0,5
threshold_r80_paper,abc395_a,True,85,85,True,0,5
threshold_r80_paper,abc397_e,False,81,81,True,0,5
threshold_r80_paper,arc190_c,False,81,81,True,0,5
threshold_r80_paper,arc192_d,False,81,81,True,0,5
threshold_r85_paper,2811,False,81,81,True,0,7
