question_id,question_title,feedback_passed,final_passed,transition,original_attribution,final_aligned_attribution,error_type,error_code,error_message,num_private_tests
1873_A,A. Short Sort,True,True,feedback_pass_final_pass,solved,solved,accepted,,,4
1873_B,B. Good Kid,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
1873_D,D. 1D Eraser,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
1883_B,B. Chemistry,True,True,feedback_pass_final_pass,solved,solved,accepted,,,3
1883_C,C. Raspberries,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong answer at output_line_idx=0: 0 != 2,1
1899_A,A. Game with Integers,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong answer at output_line_idx=0: Second != First,1
1899_B,B. 250 Thousand Tons of TNT,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong answer at output_line_idx=1: 176338657 != 89350529,2
1899_C,C. Yarik and Array,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong answer at output_line_idx=0: -3 != -1,8
1899_D,D. Yarik and Musical Notes,False,True,feedback_fail_final_pass,spec_induced,solved,accepted,,,12
2727,number-of-senior-citizens,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2728,sum-in-a-matrix,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2730,maximum-or,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2754,maximum-strength-of-a-group,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong Answer,7
2755,extra-characters-in-a-string,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2756,buy-two-chocolates,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2757,count-of-integers,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong Answer,2
2777,find-the-distinct-difference-array,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong Answer,9
2779,number-of-adjacent-elements-with-the-same-color,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2784,power-of-heroes,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong Answer,1
2785,semi-ordered-permutation,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2786,find-the-longest-semi-repetitive-substring,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2791,find-the-losers-of-the-circular-game,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2792,neighboring-bitwise-xor,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2800,minimum-string-length-after-removing-substrings,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2802,find-the-punishment-number-of-an-integer,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2808,painting-the-walls,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2810,collecting-chocolates,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong Answer,9
2811,determine-the-minimum-sum-of-a-k-avoiding-array,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2812,find-the-maximum-achievable-number,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2816,lexicographically-smallest-palindrome,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2817,minimum-cost-to-make-all-characters-equal,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2819,remove-trailing-zeros-from-a-string,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2824,check-if-the-number-is-fascinating,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2825,minimize-string-length,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2827,greatest-common-divisor-traversal,True,True,feedback_pass_final_pass,solved,solved,accepted,,,80
2828,lexicographically-smallest-string-after-substring-operation,False,False,feedback_fail_final_fail,unknown,unknown,wrong_answer,-2,Wrong Answer,8
2831,number-of-beautiful-pairs,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2832,find-the-longest-equal-subarray,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2833,count-zero-request-servers,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2834,relocate-marbles,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2837,minimum-operations-to-make-the-integer-zero,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2839,maximum-sum-queries,False,False,feedback_fail_final_fail,spec_induced,spec_induced,runtime_error,-4,Runtime Error,1
2844,sum-of-squares-of-special-elements,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2845,find-the-value-of-the-partition,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2847,find-maximum-number-of-string-pairs,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2848,special-permutations,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2849,sum-of-imbalance-numbers-of-all-subarrays,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong Answer,9
2850,construct-the-longest-new-string,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2854,decremental-string-concatenation,False,False,feedback_fail_final_fail,spec_induced,spec_induced,wrong_answer,-2,Wrong Answer,6
2855,maximum-number-of-jumps-to-reach-the-last-index,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2856,count-complete-subarrays-in-an-array,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2857,total-distance-traveled,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2866,longest-even-odd-subarray-with-threshold,False,False,feedback_fail_final_fail,unknown,unknown,wrong_answer,-2,Wrong Answer,5
2867,ways-to-split-array-into-good-subarrays,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2868,continuous-subarrays,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2869,longest-non-decreasing-subarray-from-two-arrays,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
2870,longest-alternating-subarray,True,True,feedback_pass_final_pass,solved,solved,accepted,,,12
